carrier_id,name,mode,mc_number,score_tier,load_date,update_date
1,AAA Cooper Transportation,TL,MC454508,Bronze,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
2,U.S. Xpress,TL,MC717024,Silver,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
3,JB Hunt Intermodal,TL,MC761759,Bronze,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
4,Saia LTL Freight,TL,MC132938,Bronze,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
5,Penske Logistics,Intermodal,MC349565,Bronze,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
6,ABF Freight,TL,MC665427,Silver,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
7,Blue Ridge Logistics,TL,MC698782,Platinum,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
8,Prairie Line Haulers,LTL,MC595948,Bronze,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
9,Reddaway,LTL,MC201639,Bronze,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
10,TForce Freight,LTL,MC531071,Silver,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
11,Werner Enterprises,TL,MC806073,Gold,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
12,C.R. England,LTL,MC163556,Gold,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
13,Acme Freight Co.,TL,MC214576,Silver,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
14,UPS Freight,TL,MC570405,Bronze,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
15,Schneider Intermodal,TL,MC585100,Bronze,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
