customer_id,name,segment,region,load_date,update_date
1,Tractor Supply Co.,Manufacturing,South,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
2,AB InBev,Manufacturing,West,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
3,JBS USA,Automotive,West,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
4,Kroger,Manufacturing,South,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
5,Johnson & Johnson,Manufacturing,Midwest,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
6,Unilever,CPG,South,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
7,PepsiCo,CPG,West,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
8,USPS,CPG,West,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
9,Nike,E-Commerce,Midwest,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
10,Tyson Foods,Manufacturing,West,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
11,Cargill,Retail,Northeast,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
12,Albertsons,Retail,Midwest,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
13,Subaru,Manufacturing,West,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
14,Maersk,CPG,Northeast,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
15,Tesla,Automotive,West,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
16,Sysco,CPG,West,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
17,Nissan,CPG,South,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
18,Bosch,CPG,Northeast,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
19,DHL Supply Chain,Retail,South,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20,General Mills,E-Commerce,Northeast,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
21,Molson Coors,E-Commerce,West,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
22,C.H. Robinson,Manufacturing,West,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
23,Ford Motor Company,Retail,South,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
24,Kimberly-Clark,CPG,Midwest,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
25,Pizza Hut,CPG,Northeast,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
