lane_id,origin_loc_id,dest_loc_id,standard_miles,std_transit_days,load_date,update_date
1,1,6,588.74,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
2,1,10,719.62,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
3,1,14,1932.71,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
4,1,18,745.82,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
5,1,22,436.01,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
6,1,26,336.68,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
7,1,30,1210.03,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
8,1,34,2178.35,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
9,1,38,606.46,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
10,1,42,1588.67,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
11,1,46,675.78,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
12,1,50,701.05,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
13,1,54,214.83,1,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
14,1,58,226.23,1,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
15,5,2,588.74,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
16,5,10,804.72,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
17,5,14,1742.39,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
18,5,18,711.01,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
19,5,22,275.58,1,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20,5,26,482.93,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
21,5,30,918.24,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
22,5,34,1732.97,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
23,5,38,1191.41,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
24,5,42,1451.8,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
25,5,46,412.38,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
26,5,50,941.91,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
27,5,54,397.55,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
28,5,58,587.48,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
29,9,2,719.62,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
30,9,6,804.72,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
31,9,14,1237.8,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
32,9,18,1370.6,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
33,9,22,912.54,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
34,9,26,419.91,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
35,9,30,662.6,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
36,9,34,1679.81,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
37,9,38,1110.23,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
38,9,42,884.56,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
39,9,46,454.13,2,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
40,9,50,224.8,1,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
41,9,54,616.25,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
42,9,58,928.34,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
43,13,2,1932.71,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
44,13,6,1742.39,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
45,13,10,1237.8,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
46,13,18,2445.61,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
47,13,22,1973.66,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
48,13,26,1599.99,4,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
49,13,30,829.89,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
50,13,34,960.21,3,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
