loc_id,name,city,state,country,timezone,type,load_date,update_date
1,Atlanta Origin,Atlanta,GA,USA,America/New_York,Origin,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
2,Atlanta Dest,Atlanta,GA,USA,America/New_York,Dest,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
3,Atlanta Terminal,Atlanta,GA,USA,America/New_York,Terminal,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
4,Atlanta DC,Atlanta,GA,USA,America/New_York,DC,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
5,Chicago Origin,Chicago,IL,USA,America/Chicago,Origin,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
6,Chicago Dest,Chicago,IL,USA,America/Chicago,Dest,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
7,Chicago Terminal,Chicago,IL,USA,America/Chicago,Terminal,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
8,Chicago DC,Chicago,IL,USA,America/Chicago,DC,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
9,Dallas Origin,Dallas,TX,USA,America/Chicago,Origin,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
10,Dallas Dest,Dallas,TX,USA,America/Chicago,Dest,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
11,Dallas Terminal,Dallas,TX,USA,America/Chicago,Terminal,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
12,Dallas DC,Dallas,TX,USA,America/Chicago,DC,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
13,Los Angeles Origin,Los Angeles,CA,USA,America/Los_Angeles,Origin,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
14,Los Angeles Dest,Los Angeles,CA,USA,America/Los_Angeles,Dest,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
15,Los Angeles Terminal,Los Angeles,CA,USA,America/Los_Angeles,Terminal,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
16,Los Angeles DC,Los Angeles,CA,USA,America/Los_Angeles,DC,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
17,New York Origin,New York,NY,USA,America/New_York,Origin,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
18,New York Dest,New York,NY,USA,America/New_York,Dest,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
19,New York Terminal,New York,NY,USA,America/New_York,Terminal,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
20,New York DC,New York,NY,USA,America/New_York,DC,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
21,Columbus Origin,Columbus,OH,USA,America/New_York,Origin,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
22,Columbus Dest,Columbus,OH,USA,America/New_York,Dest,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
23,Columbus Terminal,Columbus,OH,USA,America/New_York,Terminal,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
24,Columbus DC,Columbus,OH,USA,America/New_York,DC,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
25,Memphis Origin,Memphis,TN,USA,America/Chicago,Origin,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
26,Memphis Dest,Memphis,TN,USA,America/Chicago,Dest,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
27,Memphis Terminal,Memphis,TN,USA,America/Chicago,Terminal,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
28,Memphis DC,Memphis,TN,USA,America/Chicago,DC,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
29,Denver Origin,Denver,CO,USA,America/Denver,Origin,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
30,Denver Dest,Denver,CO,USA,America/Denver,Dest,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
31,Denver Terminal,Denver,CO,USA,America/Denver,Terminal,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
32,Denver DC,Denver,CO,USA,America/Denver,DC,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
33,Seattle Origin,Seattle,WA,USA,America/Los_Angeles,Origin,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
34,Seattle Dest,Seattle,WA,USA,America/Los_Angeles,Dest,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
