shipment_id,cost_type,calc_method,rate_ref,cost_amount,currency,load_date,update_date
S000001,Base,per-mile,RPM 2.71,950.89,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000001,Fuel,index,DOE 3.77,60.91,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000002,Accessorial: Detention,flat,DETENTION,165.43,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000002,Base,per-mile,RPM 2.27,3367.91,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000002,Fuel,index,DOE 3.94,285.94,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000003,Base,per-mile,RPM 2.33,3164.56,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000003,Fuel,index,DOE 3.92,233.38,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000004,Base,per-mile,RPM 1.84,744.69,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000004,Fuel,index,DOE 3.89,84.42,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000005,Base,per-mile,RPM 1.93,2452.07,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000005,Fuel,index,DOE 3.83,230.77,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000006,Base,per-mile,RPM 2.04,518.52,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000006,Fuel,index,DOE 3.92,46.56,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000007,Base,per-mile,RPM 2.17,2742.12,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000007,Fuel,index,DOE 3.85,228.92,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000008,Base,per-mile,RPM 1.80,1043.59,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000008,Fuel,index,DOE 3.87,108.51,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000009,Base,per-mile,RPM 2.55,713.29,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000009,Fuel,index,DOE 3.94,46.64,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000010,Base,per-mile,RPM 2.40,1927.99,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000010,Fuel,index,DOE 3.92,152.41,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000011,Base,per-mile,RPM 1.84,1179.81,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000011,Fuel,index,DOE 3.89,97.95,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000012,Base,per-mile,RPM 2.40,1362.1,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000012,Fuel,index,DOE 3.94,116.98,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000013,Accessorial: Layover,flat,LAYOVER,334.61,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000013,Base,per-mile,RPM 2.70,629.15,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000013,Fuel,index,DOE 3.84,46.49,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000014,Base,per-mile,RPM 2.37,2264.3,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000014,Fuel,index,DOE 3.92,192.86,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000015,Base,per-mile,RPM 2.33,1538.7,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000015,Fuel,index,DOE 3.87,113.05,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000016,Base,per-mile,RPM 1.78,1436.26,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000016,Fuel,index,DOE 3.89,128.11,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000017,Base,per-mile,RPM 2.41,459.07,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000017,Fuel,index,DOE 3.82,27.66,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000018,Base,per-mile,RPM 1.94,2776.03,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000018,Fuel,index,DOE 3.85,273.41,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000019,Base,per-mile,RPM 2.11,2804.09,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000019,Fuel,index,DOE 3.85,210.88,USD,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
