shipment_id,event_seq,event_type,event_ts,facility_loc_id,notes,load_date,update_date
S000001,1,Tendered,2024-02-08T08:36:00+00:00,45,,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000001,2,Accepted,2024-02-08T11:36:00+00:00,45,,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000001,3,AtOrigin,2024-02-08T13:36:00+00:00,45,,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000001,4,PickedUp,2024-02-08T14:36:00+00:00,45,,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000001,5,AtDest,2024-02-10T13:36:00+00:00,54,,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000001,6,Delivered,2024-02-10T18:36:00+00:00,54,,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000002,1,Tendered,2024-06-10T17:48:00+00:00,13,,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000002,2,Accepted,2024-06-10T18:48:00+00:00,13,,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000002,3,AtOrigin,2024-06-11T09:48:00+00:00,13,,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000002,4,PickedUp,2024-06-11T10:48:00+00:00,13,,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000002,5,AtDest,2024-06-15T13:48:00+00:00,2,,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000002,6,Delivered,2024-06-15T19:48:00+00:00,2,,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000003,1,Tendered,2024-04-10T06:43:00+00:00,9,,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000003,2,Accepted,2024-04-10T09:43:00+00:00,9,,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000003,3,AtOrigin,2024-04-10T12:43:00+00:00,9,,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000003,4,PickedUp,2024-04-10T13:43:00+00:00,9,,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000003,5,DwellStart,2024-04-10T23:43:00+00:00,9,Facility dwell,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000003,6,DwellEnd,2024-04-11T00:52:00+00:00,9,,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000003,7,AtDest,2024-04-14T10:43:00+00:00,34,,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000003,8,Delivered,2024-04-14T12:43:00+00:00,34,,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000004,1,Tendered,2024-06-06T17:22:00+00:00,45,,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000004,2,Accepted,2024-06-06T19:22:00+00:00,45,,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
