shipment_id,leg_id,customer_id,carrier_id,equipment_id,origin_loc_id,dest_loc_id,lane_id,tender_ts,pickup_plan_ts,pickup_actual_ts,delivery_plan_ts,delivery_actual_ts,planned_miles,actual_miles,pieces,weight_lbs,cube,revenue,total_cost,fuel_surcharge,accessorial_cost,status,isdeliveredontime,isinfull,isotif,cancel_flag,load_date,update_date
S000001,1,12,3,3,45,54,167,2024-02-08T08:36:00+00:00,2024-02-08T14:36:00+00:00,2024-02-08T14:36:00+00:00,2024-02-10T18:36:00+00:00,2024-02-10T18:36:00+00:00,483.05,493.32,15,29798.37,420.27,1375.12,1011.8,64.61,0.0,Delivered,True,True,True,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000002,1,12,15,2,13,2,43,2024-06-10T17:48:00+00:00,2024-06-11T07:48:00+00:00,2024-06-11T10:48:00+00:00,2024-06-15T10:48:00+00:00,2024-06-15T19:48:00+00:00,1924.84,1941.22,14,8712.15,290.15,4815.56,3819.28,273.04,165.43,Delivered,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000003,1,16,15,2,9,34,36,2024-04-10T06:43:00+00:00,2024-04-10T13:43:00+00:00,2024-04-10T13:43:00+00:00,2024-04-14T15:43:00+00:00,2024-04-14T12:43:00+00:00,1763.65,1831.85,24,22211.29,2688.62,4366.44,3397.94,248.32,0.0,Delivered,True,True,True,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000004,1,25,9,2,45,30,162,2024-06-06T17:22:00+00:00,2024-06-07T12:22:00+00:00,2024-06-07T14:22:00+00:00,2024-06-09T17:22:00+00:00,2024-06-09T17:22:00+00:00,577.3,605.04,13,26799.4,1178.0,1143.98,829.11,80.59,0.0,Delivered,True,True,True,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000005,1,10,10,1,45,34,163,2024-03-17T19:49:00+00:00,2024-03-18T14:49:00+00:00,2024-03-18T15:49:00+00:00,2024-03-22T22:49:00+00:00,2024-03-22T20:49:00+00:00,1542.37,1603.6,15,20495.05,163.37,3185.38,2682.84,210.15,0.0,Delivered,True,True,True,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000006,1,18,10,2,53,22,188,2024-03-27T23:08:00+00:00,2024-03-28T12:08:00+00:00,2024-03-28T12:08:00+00:00,2024-03-30T20:08:00+00:00,2024-03-31T01:08:00+00:00,330.6,330.57,2,1724.39,205.66,722.03,565.08,46.61,0.0,Delivered,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000007,1,12,6,3,33,46,123,2024-02-16T00:21:00+00:00,2024-02-16T16:21:00+00:00,2024-02-16T17:21:00+00:00,2024-02-20T23:21:00+00:00,2024-02-20T19:21:00+00:00,1553.32,1580.8,2,20549.56,3028.62,3579.23,2971.04,213.19,0.0,Delivered,True,True,True,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000008,1,19,8,2,17,2,57,2024-05-26T01:01:00+00:00,2024-05-26T15:01:00+00:00,2024-05-26T16:01:00+00:00,2024-05-29T17:01:00+00:00,2024-05-29T19:01:00+00:00,767.24,786.02,3,37056.55,1898.63,1487.87,1152.1,106.07,0.0,Delivered,True,True,True,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000009,1,10,4,2,57,54,210,2024-04-02T03:39:00+00:00,2024-04-02T09:39:00+00:00,2024-04-02T09:39:00+00:00,2024-04-04T15:39:00+00:00,2024-04-04T22:39:00+00:00,342.11,342.77,14,18000.09,2206.13,921.97,759.93,48.56,0.0,Delivered,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000010,1,15,11,3,9,38,37,2024-04-29T08:33:00+00:00,2024-04-29T17:33:00+00:00,2024-04-29T17:33:00+00:00,2024-05-04T01:33:00+00:00,2024-05-04T02:33:00+00:00,1089.47,1126.06,14,18346.32,3017.64,2766.11,2080.4,153.56,0.0,Delivered,True,True,True,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000011,1,3,10,2,17,2,57,2024-04-27T09:16:00+00:00,2024-04-28T08:16:00+00:00,2024-04-28T08:16:00+00:00,2024-05-01T11:16:00+00:00,2024-05-01T19:16:00+00:00,745.89,772.2,9,29152.18,657.15,1477.34,1277.76,104.16,0.0,Delivered,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
S000012,1,2,15,2,45,58,168,2024-01-16T08:20:00+00:00,2024-01-17T07:20:00+00:00,2024-01-17T09:20:00+00:00,2024-01-20T13:20:00+00:00,2024-01-20T16:20:00+00:00,788.29,777.5,20,5819.04,2833.07,2004.42,1479.08,111.74,0.0,Delivered,False,True,False,False,2025-10-16T15:26:16.252397+00:00,2025-10-16T15:26:16.252397+00:00
